pair_key,node_idx,tender_id,country,attention,is_cartel_pair,tender_label,pred_prob
usa_3_67,1807,1140,usa,0.09262368,1,0,1.4038223e-05
usa_12_67,1807,1140,usa,0.14367035,1,0,1.4038223e-05
usa_67_103,1807,1140,usa,0.20763835,1,0,1.4038223e-05
usa_3_12,1807,1140,usa,0.035697512,1,0,1.4038223e-05
usa_3_20,1807,1140,usa,0.1871419,0,0,1.4038223e-05
usa_3_103,1807,1140,usa,0.14394014,1,0,1.4038223e-05
usa_20_103,1807,1140,usa,0.18928805,0,0,1.4038223e-05
usa_73_112,1808,1141,usa,1.0,0,0,0.00011159539
usa_40_73,1809,1144,usa,0.15563916,0,0,4.8765338e-05
usa_73_104,1809,1144,usa,0.05907057,1,0,4.8765338e-05
usa_73_106,1809,1144,usa,0.14013134,0,0,4.8765338e-05
usa_40_104,1809,1144,usa,0.24919437,0,0,4.8765338e-05
usa_40_106,1809,1144,usa,0.22662823,0,0,4.8765338e-05
usa_104_106,1809,1144,usa,0.16933633,0,0,4.8765338e-05
usa_43_64,1810,1145,usa,1.0,1,1,0.99984384
usa_6_29,1811,1146,usa,0.41129595,0,0,0.00018445995
usa_6_73,1811,1146,usa,0.36742547,0,0,0.00018445995
usa_29_73,1811,1146,usa,0.22127855,0,0,0.00018445995
usa_73_104,1812,1147,usa,1.0,1,0,0.0012822334
usa_3_73,1813,1148,usa,1.0,1,0,0.00017640201
usa_26_47,1814,1152,usa,1.0,0,0,3.5947798e-07
usa_43_64,1815,1153,usa,0.07298454,1,1,0.9994916
usa_64_73,1815,1153,usa,0.5960322,1,1,0.9994916
usa_43_73,1815,1153,usa,0.33098322,1,1,0.9994916
usa_26_104,1816,1154,usa,1.0,0,0,6.176936e-05
usa_26_47,1817,1156,usa,1.0,0,0,3.5568152e-07
usa_47_92,1818,1157,usa,0.39770487,0,0,0.0007269515
usa_92_104,1818,1157,usa,0.26163942,1,0,0.0007269515
usa_47_104,1818,1157,usa,0.34065568,0,0,0.0007269515
usa_22_64,1819,1158,usa,0.32076907,1,1,0.9998839
usa_43_64,1819,1158,usa,0.21977387,1,1,0.9998839
usa_22_43,1819,1158,usa,0.4594571,1,1,0.9998839
usa_87_101,1820,1162,usa,1.0,1,0,0.0002556864
usa_47_92,1821,1163,usa,0.28122422,0,0,6.0848433e-05
usa_92_106,1821,1163,usa,0.4009719,0,0,6.0848433e-05
usa_47_106,1821,1163,usa,0.31780386,0,0,6.0848433e-05
usa_73_104,1822,1164,usa,0.28110975,1,0,0.0015166954
usa_92_104,1822,1164,usa,0.45240903,1,0,0.0015166954
usa_73_92,1822,1164,usa,0.26648116,1,0,0.0015166954
usa_73_112,1823,1165,usa,1.0,0,0,0.000111617745
usa_43_64,1824,1167,usa,1.0,1,1,0.9998481
usa_38_50,1825,1168,usa,1.0,1,0,7.275256e-05
usa_10_43,1826,1169,usa,0.47315198,1,1,0.9997619
usa_22_43,1826,1169,usa,0.08960919,1,1,0.9997619
usa_43_64,1826,1169,usa,0.025683528,1,1,0.9997619
usa_10_22,1826,1169,usa,0.2385287,1,1,0.9997619
usa_10_64,1826,1169,usa,0.12600647,1,1,0.9997619
usa_22_64,1826,1169,usa,0.04702019,1,1,0.9997619
usa_8_104,1827,1170,usa,0.40951073,0,0,5.3491327e-05
usa_12_104,1827,1170,usa,0.18338047,1,0,5.3491327e-05
usa_8_12,1827,1170,usa,0.40710878,0,0,5.3491327e-05
usa_26_47,1828,1171,usa,1.0,0,0,3.4695674e-07
usa_15_112,1829,1172,usa,0.23393053,0,0,6.718321e-08
usa_15_113,1829,1172,usa,0.39249122,0,0,6.718321e-08
usa_112_113,1829,1172,usa,0.37357825,0,0,6.718321e-08
usa_26_47,1830,1175,usa,1.0,0,0,3.64698e-07
usa_104_106,1831,1176,usa,1.0,0,0,1.6275286e-05
usa_12_64,1832,1177,usa,0.09257376,1,1,0.9970157
usa_43_64,1832,1177,usa,0.00739925,1,1,0.9970157
usa_64_73,1832,1177,usa,0.6468807,1,1,0.9970157
