node_idx,tender_id,country,n_pairs,entropy,max_attention,normalised_entropy,tender_label,pred_prob
2481,2246,usa,6,1.736987590789795,0.2606731951236725,0.9694312326074339,0,1.2536330018519948e-07
2487,2254,usa,3,1.0260848999023438,0.4972131848335266,0.9339827257405852,1,0.9998722076416016
2490,2262,usa,3,0.8755630254745483,0.5634911060333252,0.7969718111710068,1,0.9987253546714783
2491,2263,usa,3,1.0459786653518677,0.4742755889892578,0.9520908114180555,1,0.9998830556869507
2493,2265,usa,3,1.0438499450683594,0.4914538562297821,0.95015316671349,0,0.00010924283560598269
2494,2267,usa,3,0.9497458934783936,0.4930160641670227,0.8644959675717876,0,0.00021425574959721416
2499,2272,usa,3,1.0425944328308105,0.4363868236541748,0.9490103502253631,0,8.663766493555158e-05
2500,2273,usa,3,0.6218761205673218,0.8002407550811768,0.5660560390428968,1,0.999734103679657
2503,2278,usa,2,0.6714307069778442,0.6038237810134888,0.9686697512575067,0,3.489879236440174e-05
2504,2280,usa,3,1.0357974767684937,0.48558172583580017,0.9428234941957832,1,0.9998661279678345
2505,2282,usa,3,1.0958844423294067,0.36361515522003174,0.9975170072583021,0,0.00020960750407539308
2506,2287,usa,6,0.8083289265632629,0.7523059248924255,0.4511369636637198,1,0.9909420609474182
2512,2293,usa,3,1.0555424690246582,0.45837798714637756,0.9607961606767873,1,0.9998785257339478
2513,2294,usa,3,0.9361932873725891,0.5972025394439697,0.852159853871262,0,0.00046116014709696174
2518,2304,usa,5,1.4168710708618164,0.3822290301322937,0.8803514940933339,0,0.0003326762525830418
2519,2305,usa,3,0.7965832352638245,0.6162211894989014,0.7250813080104476,1,0.9989472031593323
2520,2306,usa,2,0.6929255723953247,0.5105247497558594,0.9996802869998814,1,0.9995996356010437
2522,2308,usa,3,1.0051078796386719,0.4750719666481018,0.914888619038845,0,0.0001223189028678462
2524,2310,usa,3,1.0873262882232666,0.3964795172214508,0.9897270396833758,1,0.9998961687088013
2526,2312,usa,3,1.0592153072357178,0.46911266446113586,0.9641393220895477,0,7.922769327706192e-06
2527,2314,usa,6,1.7184278964996338,0.2885887324810028,0.9590728699985525,0,8.611041835138167e-08
2530,2318,usa,3,0.9285674095153809,0.6190621256828308,0.845218480708166,0,9.305944104198716e-08
2531,2319,usa,3,0.7638379335403442,0.6296936273574829,0.6952752498940045,0,0.00011524240835569799
2534,2323,usa,3,0.739932119846344,0.7147098183631897,0.6735152405252924,0,3.036972884729039e-05
2535,2324,usa,6,1.655186414718628,0.26772207021713257,0.9237771269777261,1,0.9994187355041504
2536,2326,usa,3,1.097176432609558,0.35873132944107056,0.9986930274917165,0,4.030334821436554e-05
2540,2333,usa,3,1.0117316246032715,0.5135174989700317,0.9209178115327955,1,0.9998676776885986
2541,2335,usa,3,1.0903599262237549,0.380559504032135,0.9924883759908061,0,1.3737365406996105e-05
2542,2336,usa,3,0.852776288986206,0.5639999508857727,0.7762304297725086,0,2.5996794647653587e-05
