node_idx,tender_id,country,n_pairs,entropy,normalised_entropy,max_attention,top_pair,top_pair_is_cartel,tender_label,pred_prob
233,142,japan,33,3.4134411294229943,0.9762430280549296,0.06396947056055069,japan_1164_1170,0,0,3.5051351005677134e-05
234,143,japan,2,0.6899554206277654,0.995395263774136,0.5399271845817566,japan_524_1365,0,0,0.00038061407394707203
235,144,japan,3,1.0974407816468794,0.9989336483550073,0.34805768728256226,japan_648_1034,0,0,9.59396220423514e-06
236,145,japan,44,3.4886928123489,0.9219127871075016,0.0658438503742218,japan_97_304,0,0,4.244468436809257e-05
237,146,japan,15,2.577098817144587,0.9516436645434696,0.15015831589698792,japan_837_1215,0,0,5.612397217191756e-05
238,147,japan,6,1.755456412947425,0.9797388785134924,0.2519991397857666,japan_933_1009,0,0,0.13263282179832458
239,148,japan,13,2.449952175382589,0.9551659054224925,0.2065402865409851,japan_500_587,0,0,3.844895400106907e-05
240,149,japan,3,1.0954563477535109,0.9971273387826155,0.3701411485671997,japan_743_1454,0,0,7.884360093157738e-05
241,150,japan,3,1.0407501453693222,0.9473316074327404,0.45721811056137085,japan_20_1131,0,0,0.02147601544857025
242,151,japan,15,2.6614909006376783,0.9828070763069379,0.11038916558027267,japan_426_626,1,1,0.9308982491493225
243,152,japan,19,2.905959657905208,0.9869315270129573,0.10325531661510468,japan_943_1253,0,0,5.0034002924803644e-05
244,153,japan,11,2.374881871622238,0.9904026662727119,0.11747946590185165,japan_922_1196,0,0,0.00014292189734987915
245,154,japan,9,2.175439969214217,0.9900853975753298,0.1486864537000656,japan_689_1464,0,0,0.0012221239740028977
246,155,japan,12,2.4335208604792364,0.9793208371376253,0.11762483417987823,japan_665_696,0,0,0.46329817175865173
247,156,japan,27,3.2586999765148468,0.9887321821439224,0.06225473806262016,japan_914_1157,0,0,5.2192008297424763e-05
248,157,japan,9,2.1319783082523767,0.9703051432444182,0.18514896929264069,japan_35_1330,1,1,0.0026836185716092587
249,158,japan,14,2.561911714266021,0.9707677379784377,0.17623069882392883,japan_601_835,0,0,0.0034547841642051935
250,159,japan,10,2.262814994943228,0.9827280658717785,0.15307457745075226,japan_1265_1291,0,0,0.00044344153138808906
251,160,japan,9,2.1705528916680508,0.987861192732286,0.15470661222934723,japan_147_1613,1,1,0.9780257344245911
252,161,japan,19,2.9228497516826137,0.992667795924255,0.0745217353105545,japan_1203_1244,0,0,7.266339525813237e-05
253,162,japan,9,1.9180456816772837,0.8729402089624378,0.30373725295066833,japan_121_990,0,0,0.0007074892055243254
254,163,japan,41,3.2078966977732906,0.8638304683878694,0.13278169929981232,japan_542_1356,0,0,3.931059472961351e-05
256,165,japan,3,1.03558146616954,0.9426268728752484,0.5016483068466187,japan_763_953,0,0,5.011671601096168e-05
258,167,japan,18,2.7645293929778423,0.9564615297065039,0.13484907150268555,japan_1308_1336,0,0,6.378636317094788e-05
259,168,japan,23,2.4568019865425006,0.7835453735048494,0.3653865456581116,japan_346_772,0,0,4.202772834105417e-05
260,169,japan,30,3.3798607447602205,0.9937267278232739,0.061542775481939316,japan_991_1237,0,0,0.00014339352492243052
261,170,japan,19,2.878379018861885,0.977564500140106,0.0852181538939476,japan_1063_1204,0,0,3.254782495787367e-05
262,171,japan,40,3.5961422754491714,0.9748603390763171,0.0743664875626564,japan_1287_1332,0,0,3.876214395859279e-05
263,172,japan,23,3.0357866521911876,0.9682003675109905,0.1258288025856018,japan_246_1100,0,0,5.398286521085538e-05
264,173,japan,6,1.7659321721554044,0.9855855110486578,0.23261983692646027,japan_1125_1681,0,0,6.059683073544875e-05
265,174,japan,7,1.9298974280158747,0.9917710892010033,0.18351951241493225,japan_1038_1577,1,0,0.2279323935508728
266,175,japan,6,1.559041783936084,0.870117786852142,0.3348330855369568,japan_407_1067,0,0,0.10676583647727966
267,176,japan,24,3.1570281270678002,0.993384094668452,0.057022903114557266,japan_692_1202,0,0,1.798578341549728e-05
268,177,japan,45,3.7193796900250105,0.9770710432091458,0.048501044511795044,japan_32_125,0,0,4.4719949073623866e-05
269,178,japan,35,3.477125293397798,0.977998562520811,0.05771210044622421,japan_495_1287,0,0,4.983705002814531e-05
270,179,japan,25,3.185906803768581,0.9897575977162868,0.058959562331438065,japan_757_828,0,0,3.3340529626002535e-05
271,180,japan,35,3.351622708910398,0.9426989006264352,0.06820285320281982,japan_534_967,0,0,0.0007172247860580683
272,182,japan,24,3.1290511437865645,0.9845809136102593,0.08609754592180252,japan_782_930,1,0,0.0010571781313046813
273,183,japan,21,2.9906403987978885,0.9823019734530761,0.07396451383829117,japan_35_517,0,0,4.418046955834143e-05
274,184,japan,22,3.063047480076345,0.9909431935327981,0.0670495331287384,japan_561_1026,0,0,0.0023849427234381437
275,185,japan,2,0.22241467511436325,0.3208765488084218,0.9416458606719971,japan_278_1299,1,1,0.7754209637641907
276,186,japan,15,2.690160403378995,0.9933938456104198,0.08380433171987534,japan_1035_1319,0,0,7.285462197614834e-05
277,187,japan,12,2.300240144365915,0.9256847312804124,0.2746180593967438,japan_984_1428,0,0,0.00010065966489491984
278,188,japan,12,2.4270133897691077,0.9767020382742218,0.12996546924114227,japan_847_1012,1,0,0.9383463263511658
279,189,japan,20,2.9552099869460435,0.9864733284193404,0.08082562685012817,japan_1354_1657,0,0,0.0027058753184974194
280,190,japan,30,3.3469161298447845,0.9840405463940338,0.06634613126516342,japan_657_989,0,0,2.6630716092768125e-05
282,192,japan,18,2.8084604497154966,0.9716606322501956,0.1364571750164032,japan_601_835,0,0,0.0003281062818132341
283,193,japan,25,3.0735328179836463,0.9548466561643442,0.09764760732650757,japan_1237_1356,0,0,5.300800330587663e-05
284,194,japan,18,2.368823741376623,0.819556769784118,0.2156786322593689,japan_943_1315,0,0,0.00011823761451523751
285,195,japan,33,3.44124445682252,0.9841947704466619,0.04701212793588638,japan_1157_1167,0,0,0.000629352405667305
286,196,japan,8,1.7460285163903064,0.8396622272823365,0.396719366312027,japan_426_626,1,1,0.9561876058578491
287,197,japan,21,3.0162745231002015,0.9907217255904528,0.07741709053516388,japan_681_986,0,0,8.492588676745072e-05
288,198,japan,4,1.3476243121445224,0.9721054560561515,0.3717470169067383,japan_382_1188,0,0,0.00037823128513991833
290,200,japan,45,3.7213499945876136,0.97758863691962,0.040328994393348694,japan_125_599,0,0,4.466373138711788e-05
291,201,japan,12,2.4717430421612883,0.9947025745905445,0.09617657959461212,japan_154_316,0,0,0.0036522215232253075
293,203,japan,2,0.6832396980714648,0.9857065241461749,0.5702663660049438,japan_120_1288,0,0,0.00043414728133939207
294,205,japan,23,2.598004849052091,0.8285790596753555,0.2309902310371399,japan_683_1080,1,0,0.0003064892953261733
296,207,japan,19,2.888033686532381,0.9808434499634197,0.08521385490894318,japan_426_626,1,1,0.9540426731109619
297,208,japan,4,1.3605830369704401,0.9814532000774496,0.33949506282806396,japan_249_275,0,0,4.5424545533023775e-05
298,209,japan,21,3.0301993491574684,0.9952954563945783,0.061742153018713,japan_147_1613,1,1,0.9809027910232544
300,211,japan,21,3.0190913820013354,0.9916469475123646,0.06938544660806656,japan_987_1411,0,0,7.219324470497668e-05
301,212,japan,10,2.27001977689541,0.9858570629169272,0.14382201433181763,japan_1171_1519,0,0,0.005220526363700628
303,214,japan,7,1.9078263976975895,0.9804288233060441,0.21457618474960327,japan_933_1009,0,0,0.0001244170416612178
304,215,japan,21,2.699921193544167,0.8868127099641494,0.20165753364562988,japan_1044_1168,0,0,8.177773997886106e-05
305,216,japan,17,2.77365204214666,0.9789774737456644,0.1255500316619873,japan_984_1279,0,0,0.001226412714459002
306,217,japan,24,2.975964142033923,0.936410866806527,0.12800544500350952,japan_1043_1159,0,0,0.002559429267421365
307,218,japan,91,1.3188180389240634,0.2923651328574441,0.6437095403671265,japan_301_343,1,1,0.9911841750144958
308,219,japan,27,3.0550742634865142,0.9269494782945065,0.17535781860351562,japan_1079_1208,0,0,0.0007192532648332417
309,220,japan,2,0.6658347774322518,0.9605965314529165,0.6163246035575867,japan_229_725,1,1,0.7763150930404663
310,221,japan,6,1.7890984629222209,0.9985148641033941,0.19100502133369446,japan_131_744,0,0,0.0035978734958916903
311,222,japan,9,2.1903758357587164,0.9968830033815632,0.1404060572385788,japan_213_982,0,0,0.0005899104289710522
312,223,japan,19,2.870266305885118,0.9748092340149904,0.13159039616584778,japan_984_1428,0,0,0.00023331440752372146
313,224,japan,37,3.5005721067928537,0.9694410649810187,0.05393238738179207,japan_965_1003,0,0,0.002698961179703474
